Experiment,Sample_ID,Name,Sample,Date,Cocktail,Nuclei,Differentiation
Exp6,S79,Spink2,spink2-KD-1,10917,Half,7473,0.1487
Exp6,S79,Spink2,spink2-KD-2,10917,Half,7212,0.1498
Exp6,S79,Spink2,spink2-KD-3,10917,Half,6682,0.1621
Exp6,S79,Spink2,spink2-KD-4,10917,Half,7007,0.1634
Exp6,S80,Spink2,spink2-KD-5,10917,Half,8487,0.1507
Exp6,S80,Spink2,spink2-KD-6,10917,Half,8083,0.123
Exp6,S80,Spink2,spink2-KD-7,10917,Half,7783,0.1349
Exp6,S80,Spink2,spink2-KD-8,10917,Half,6906,0.1507
Exp6,S81,Hopx,Hopx-KD-1,10917,Half,6895,0.1282
Exp6,S81,Hopx,Hopx-KD-2,10917,Half,7193,0.1091
Exp6,S81,Hopx,Hopx-KD-3,10917,Half,7688,0.1177
Exp6,S81,Hopx,Hopx-KD-4,10917,Half,8135,0.1194
Exp6,S82,Hopx,Hopx-KD-5,10917,Half,8337,0.1038
Exp6,S82,Hopx,Hopx-KD-6,10917,Half,8207,0.1065
Exp6,S82,Hopx,Hopx-KD-7,10917,Half,8200,0.106
Exp6,S82,Hopx,Hopx-KD-8,10917,Half,7072,0.128
Exp6,S83,Slc6a2,Slc6a2-KD-1,10917,Half,6662,0.1403
Exp6,S83,Slc6a2,Slc6a2-KD-2,10917,Half,7145,0.1276
Exp6,S83,Slc6a2,Slc6a2-KD-3,10917,Half,7712,0.0909
Exp6,S83,Slc6a2,Slc6a2-KD-4,10917,Half,6922,0.1248
Exp6,S84,Slc6a2,Slc6a2-KD-5,10917,Half,8175,0.1158
Exp6,S84,Slc6a2,Slc6a2-KD-6,10917,Half,8418,0.1148
Exp6,S84,Slc6a2,Slc6a2-KD-7,10917,Half,7375,0.1135
Exp6,S84,Slc6a2,Slc6a2-KD-8,10917,Half,7415,0.12
Exp6,S85,Cpmx2,Cpmx2-KD-1,10917,Half,7219,0.09835
Exp6,S85,Cpmx2,Cpmx2-KD-2,10917,Half,7375,0.09383
Exp6,S85,Cpmx2,Cpmx2-KD-3,10917,Half,6822,0.1162
Exp6,S85,Cpmx2,Cpmx2-KD-4,10917,Half,7052,0.1197
Exp6,S86,Cpmx2,Cpmx2-KD-5,10917,Half,8580,0.1024
Exp6,S86,Cpmx2,Cpmx2-KD-6,10917,Half,8505,0.1044
Exp6,S86,Cpmx2,Cpmx2-KD-7,10917,Half,7986,0.1242
Exp6,S86,Cpmx2,Cpmx2-KD-8,10917,Half,7665,0.1006
Exp6,S87,Dapk2,Dapk2-kd-1,10917,Half,7385,0.1146
Exp6,S87,Dapk2,Dapk2-kd-2,10917,Half,7880,0.08668
Exp6,S87,Dapk2,Dapk2-kd-3,10917,Half,7338,0.1158
Exp6,S87,Dapk2,Dapk2-kd-4,10917,Half,7542,0.09639
Exp6,S88,Dapk2,Dapk2-kd-5,10917,Half,9013,0.08665
Exp6,S88,Dapk2,Dapk2-kd-6,10917,Half,8491,0.1092
Exp6,S88,Dapk2,Dapk2-kd-7,10917,Half,8374,0.1232
Exp6,S88,Dapk2,Dapk2-kd-8,10917,Half,8030,0.1278
Exp6,S89,Akrlc12,Akrlc12-KD-1,10917,Half,6593,0.1213
Exp6,S89,Akrlc12,Akrlc12-KD-2,10917,Half,6449,0.1338
Exp6,S89,Akrlc12,Akrlc12-KD-3,10917,Half,7125,0.137
Exp6,S89,Akrlc12,Akrlc12-KD-4,10917,Half,6922,0.1049
Exp6,S90,Akrlc12,Akrlc12-KD-5,10917,Half,7806,0.1047
Exp6,S90,Akrlc12,Akrlc12-KD-6,10917,Half,7906,0.108
Exp6,S90,Akrlc12,Akrlc12-KD-7,10917,Half,7941,0.104
Exp6,S90,Akrlc12,Akrlc12-KD-8,10917,Half,7104,0.1198
Exp6,S100,Ptch2,Ptch2-KD-1,10917,Half,5948,0.0923
Exp6,S100,Ptch2,Ptch2-KD-2,10917,Half,6934,0.102
Exp6,S100,Ptch2,Ptch2-KD-3,10917,Half,7200,0.1022
Exp6,S100,Ptch2,Ptch2-KD-4,10917,Half,7774,0.09197
Exp6,S100,Ptch2,Ptch2-KD-5,10917,Half,7436,0.1029
Exp6,S100,Ptch2,Ptch2-KD-6,10917,Half,7624,0.1013
Exp6,S100,Ptch2,Ptch2-KD-7,10917,Half,7384,0.1111
Exp6,S100,Ptch2,Ptch2-KD-8,10917,Half,7524,0.0941
